Title,Category,Content
Street Style Snow Days,Streetwear,"Fashion shows must always go on—even when it snows. When it comes to braving the elements, be it flurries or a blizzard, street stylers rely on winter-proof—and stylish—furs and puffers. There is always someone who is willing to risk frostbite to make a fashion statement in a mini skirt or bare skin. What camp do you fall into? See the best street-style looks in the snow below. New York, fall 2025 ready-to-wear Paris, spring 2019 couture New York, fall 2025 ready-to-wear Paris, spring 2019 couture Paris, spring 2019 couture Paris, spring 2019 couture New York, fall 2019 ready-to-wear New York, fall 2019 ready-to-wear New York, fall 2015 ready-to-wear Paris, spring 2019 couture Paris, spring 2019 couture New York, fall 2015 ready-to-wear Paris, spring 2019 couture Paris, spring 2019 couture More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
What Is the Difference Between Bootcut and Flare Jeans?,Sustainable Fashion,"When Kendrick Lamar hit the stage at the Super Bowl Halftime Show, we had many pressing questions: What does his “a” necklace stand for? Would he perform “Not Like Us?” And most urgently, Where did he get those jeans? All questions were soon answered (the logo for Lamar’s communication company pgLang, but it served as a nice double entendre for his lyric “a minoooor”; yes and he called Drake out by name; Celine). But Lamar’s statement pants opened the gates to a new quandary: were they bootcut jeans or flares? The question made me pause. Are flares bootcuts like a square is a rectangle? Kind of. Flares seem more clear-cut: hip- and thigh-hugging pants that dramatically kick out at the knee. Another noted fan of the look is Pharrell Williams, whose proclivity for the retro pants has made its way into his Louis Vuitton menswear. Pharrell Williams in flare jeans. Bootcut jeans, however, seem to have some more leeway. They adopt a more straight-legged silhouette with a less exaggerated flare below the knee. Rather, they’re meant to accommodate a boot, not make a disco-inspired statement. While they can lean more bodycon, bootcut can also adopt a baggy form. Beloved by naughties royalty Beyoncé and Jennifer Aniston, they’ve found a new life in the 2020s, namely on models like Bella Hadid. (Given Hadid’s rodeo activities, it only makes sense she’d be into them.) While people remain divided, Celine weighed into the debate, categorizing Kendrick Lamar’s light-wash denim as flares. So at least one case is settled. Jennifer Lawrence Adds Dad Shoes to Her Maternity Wardrobe Why Does Everyone Have a Belted Bag Now? Kim Kardashian’s Dress Is More Skin and Mesh Than Actual Dress What Is the Difference Between Bootcut and Flare Jeans? Sign up for Vogue Shopping to receive the insider’s guide to what to shop and how to wear it Listen to The Run-Through with Vogue, a weekly podcast featuring the most exciting stories and hot takes from the worlds of culture, politics, sports and–of course–fashion Never miss a Vogue moment and get unlimited digital access for just $2 $1 per month. The Vogue Runway app has expanded! Update to the latest version to see all Vogue content, as well as new features like our Runway Genius quiz, Group Chats, and posts from Vogue contributors. More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
Everything You Need to Know About the 2025 Met Gala,Red Carpet,"The 2025 Met Gala is officially only a few months away! Read on for everything you need to know about fashon’s biggest night—from the date to the theme, co-hosts, and this year’s dress code. The Met Gala is a charity event and fundraiser for The Metropolitan Museum of Art’s Costume Institute. It has traditionally been timed to mark the opening of the department’s annual fashion exhibition. Year after year, the event raises eight-figure sums. The 2025 Met Gala will take place on Monday, May 5. On Wednesday, October 9, the Metropolitan Museum of Art announced the Costume Institute’s spring 2025 exhibition, “Superfine: Tailoring Black Style.” Drawing inspiration from Monica L. Miller’s 2009 book Slaves to Fashion: Black Dandyism and the Styling of Black Diasporic Identity, the exhibition is organized into 12 sections, each representing a characteristic that defines dandy style: Ownership, Presence, Distinction, Disguise, Freedom, Champion, Respectability, Jook (defined in Zora Neale Hurston’s “Characteristics of Negro Expression”—an important reference for the exhibiton—as a space for dancing, drinking, and other leisure activities), Heritage, Beauty, Cool, and Cosmopolitanism. “Superfine” will feature garments, paintings, photographs, and more from artists including Torkwase Dyson, Tanda Francis, André Grenard Matswa, and Tyler Mitchell—all exploring the indelible style of Black dandies, from the 18th century through to the present day. (Miller will also serve as a guest curator for the show, working alongside Costume Institute Curator in Charge Andrew Bolton.) Colman Domingo, Lewis Hamilton, A$AP Rocky, Pharrell Williams, and Anna Wintour will co-chair the 2025 Met Gala, with LeBron James serving as an honorary chair. Reviving a tradition from years past, the 2025 Met Gala will also have a host committee, made up of André 3000, Chimamanda Ngozi Adichie, Jordan Casteel, Dapper Dan, Doechii, Ayo Edebiri, Edward Enninful, Jeremy O. Harris, Branden Jacobs-Jenkins, Rashid Johnson, Spike Lee and Tonya Lewis Lee, Audra McDonald, Janelle Monáe, Jeremy Pope, Angel Reese, Sha'Carri Richardson, Tyla, Usher, and Kara Walker. This just in: the Met Gala 2025 dress code is “Tailored for You,” a nod to the exhibition’s focus on menswear and suiting that’s sure to bring out the sartorial creativity of this year’s attendees. That’s kept largely under wraps; guests must abide by a no-phone (and, therefore, no social media) policy once they’ve entered the museum. But the run-of-show involves dinner—overseen this year by chef Kwame Onwuachi, of the restaurants Tatiana in Lincoln Center and Dōgon in Washington, DC—and a high-profile performer (or two). Attendees also always have a moment to explore the exhibition. See exclusive photos from inside the 2024 Met Gala here, and catch a glimpse of the table settings, menu, and decor last year here. The Met Gala takes place at The Metropolitan Museum of Art each year. Guests from out of town (and even some based in the city) typically stay at hotels nearby, congregating at a few celebrity-favorite spots. In 2023, the Mark Hotel was a prime location for star-spotting; see our photos from inside its halls. The event usually hosts about 450 attendees, welcoming stars, young creatives, and paragons from the worlds of fashion, the arts, sports, and politics. Revisit some of the best looks from long-time attendees Blake Lively, Sarah Jessica Parker, Rihanna—and even more of the most memorable Met Gala fashions of all time. Also check out everything that goes into the Met Gala seating chart. There’s always more. Revisit the best looks from the last decade of Met Galas.. See All of the Celebrity Looks From the Met Gala 2024 Red Carpet: Met Gala 2024: See Every Celebrity Arrival, Read the Latest Stories, and Get Exclusive Behind-the-Scenes Access Here Everything to Know About the 2025 Met Gala: Theme, Hosts, and More The 2025 Met Gala Theme is “Superfine: Tailoring Black Style” The 2025 Met Gala Cohosts Are Colman Domingo, Lewis Hamilton, A$AP Rocky, Pharrell Williams and Anna Wintour Colman Domingo Is Setting the Bar for Men’s Fashion Tracing Lewis Hamilton’s Style Evolution I’m Jealous of A$AP Rocky’s Purse Collection Pharrell Williams’s Personal Style Decoded in 112 Looks More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
“Black Dress II: Homage” Celebrates A History Of Black Fashion In America,Red Carpet,"At Pratt Manhattan Gallery on 14th street, a celebration of Black designers and creatives rises to honor the work of generations. “Black Dress II: Homage” explores the history of American fashion, through the lens of the Black artists whose work has pioneered and defined the industry, often without recognition. The show marks the ten year anniversary of the original “Black Dress” exhibit, created in 2014 by Adrienne Jones, a tenured professor at the Pratt Institute. Jones received a series of scrapbooks from Clara Branch, a former faculty member at the Fashion Institute of Technology, as well as Jones’s mentor. In them, she found a careful catalog of Black designers, some of whose names had since been lost to history. So was born “Black Dress,” an exhibit intended to share and preserve their legacies. “This is a love letter to the fashion industry, particularly the Blacks in fashion… but also to Clara Branch, continuing her legacy,” says Jones. Who knew that some scrap clippings would turn into what it is today?” Today, Jones and her co-curator Rachelle Etienne-Robinson are reviving the legacy with an expanded viewpoint, curating the work not only of fashion designers, but of Black creatives whose work covers beauty, styling, and celebrity culture. There will be a part of the exhibit celebrating fashion journalism titled Black Book; for jewelry it’s Black Gold; for models, Black Face. A number of brands from the first exhibition will return including Byron Lars, Sammy B, and Epperson. Their work will sit next to renowned designers of decades past, from CFDA Award winner Jeffrey Banks, to Haitian-born Fabrice—known for his opulence—to Patrick Kelly, a beloved designer of the 1980s. Two-time Oscar nominated costume designer Paul Tazewell (including currently for Wicked) lent costumes from The Temptations. There will also be a piece from the 2024 Olympics designed by Telfar Clemens. Curating the collection involved not just the years of hard work put in by Jones and Etienne-Robinson, sometimes it was also about a bit of luck. The two were hunting for a specific ironing board, to be displayed as an homage to Sarah Boone, a formerly enslaved woman who had the patent for what became the modern ironing board. All set to buy the piece, a well-timed conversation suddenly found them with one in their possession, lent by a friend. For Emmy-nominated producer Keli Goff, the current exhibition will be her first time lending a piece of clothing from her own closet. Goff, who describes her collecting as a hobby turned obsession, was put in touch with Jones and Etienne-Robinson as they were searching for a Patrick Kelly dress to include. “You've got to either give me a year or a color or a print or something, because I have a lot,” Goff remembers telling them. News often travels by word-of-mouth in the network of Black fashion collectors and curators. Goff, attending a luncheon with her beloved Patrick Kelly dress in hand to drop off at Pratt after, was approached by author and former Vogue writer Nell Scovell. It turns out, Scovell owned the matching dress to Goff’s pink and white jacket, a piece which she had purchased on the day she learned that Kelly had passed away. Now, the two will be shown in the exhibit together. A museum exhibition is an opportunity to witness both the evolution and sheer volume of Black talent, bringing together works that span decades. But, outside of the museum walls the work continues. Says Jones, “we want to pay homage to those who have been doing the work and haven't necessarily gotten the recognition that they deserve” One issue Jones found in curating the first “Black Dress” exhibition was lack of preservation. In researching previous exhibits on Black designers, she found that assembled knowledge often disappeared once the show’s tenure ended. Any history gained, was lost again. Between the first and second exhibits, Jones built a lasting infrastructure, including a website and talk series with the intent to protect and expand the knowledge collected in curating the show for future generations. A continuation of Branch’s legacy, defined by the digital age. Though it leaves curators divided, Goff explains that she wears many of her pieces, including on the red carpet, as a way to spark conversation about forgotten designers or those who have yet to get their due. “It's a larger conversation about accessibility and storytelling,” she says. Worn once, precious items like her Ann Lowe dress will now remain tucked away and protected until they’re safely situated at their final home in a museum. With hopes of a potential tour or permanent space, Jones and Etienne-Robinson see the current exhibition not as an end-point, but as the next step in their journey. “We're not saying that this is everybody,” says Etienne-Robinson. “It still continues to grow and evolve.” A good sign: Etienne-Robinson and Jones are already fielding emails from designers wondering why they weren’t included in the show. “We're two people doing this work and there’s still a lot of work to do.” “Black Dress II: Homage” is on view at Pratt Manhattan Gallery through March 22,2025. The exhibition is free. Jennifer Lawrence Adds Dad Shoes to Her Maternity Wardrobe Why Does Everyone Have a Belted Bag Now? Kim Kardashian’s Dress Is More Skin and Mesh Than Actual Dress What Is the Difference Between Bootcut and Flare Jeans? Sign up for Vogue Shopping to receive the insider’s guide to what to shop and how to wear it Listen to The Run-Through with Vogue, a weekly podcast featuring the most exciting stories and hot takes from the worlds of culture, politics, sports and–of course–fashion Never miss a Vogue moment and get unlimited digital access for just $2 $1 per month. The Vogue Runway app has expanded! Update to the latest version to see all Vogue content, as well as new features like our Runway Genius quiz, Group Chats, and posts from Vogue contributors. More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
2025 Just Got Even Better for GloRilla,Streetwear,"Products are independently selected by our editors. We may earn an affiliate commission from links. You’ve likely seen the video: Dressed in a black tee, nude tights, and oversized burgundy sunglasses, Rihanna emphatically raps along to GloRilla’s “TGIF,” positioned inside a hotel room door frame. Does A$AP Rocky’s look of bewilderment keep Rih from belting, “It’s 7 p.m. Friday, it’s ninety-five degrees!” with the utmost enthusiasm? No. Do her stiletto heels prevent her from dropping it low when she reaches mid verse? Absolutely not; a GloRilla hit will have that effect on you. The July 2024 video served as proof that Rihanna is just like us: a big GloRilla fan. So much so that when it came time to pick a face for her Fenty empire—the first that would represent the brand across Fenty Beauty, Hair, Skin and Savage x Fenty—the Memphis-born rapper was the obvious choice. “I want to say I was at home in my car,” GloRilla tells Vogue of learning that she’d be the newest Fenty ambassador, “and I was so excited about it.” Home for the star is currently Atlanta, but when we speak, it’s the Saturday before the 2025 Grammys, and the tattooed rapper with a singular southern accent is in L.A. rehearsing for a performance at Battle of the Bands. Though versions of the HBCU marching band competition have taken place in Tennessee, “I never went to one, actually,” Glo says, “and I always wanted to.” Now, she’s as much of a draw as the bands themselves (if not more), a two-time Grammy nominee, and the face of all things Fenty. Here, GloRilla talks about the whirlwind of fame, her love of Rihanna, wearing Savage x Fenty, and more—exclusively with Vogue. Vogue: You’re a noted Rihanna fan and now the face of Fenty. Tell us about your earliest Rihanna memory. Glorilla: first song I heard from her was “Umbrella,” and I just fell in love with her. My mom used to always say that I looked like her, and when I went places people would tell me that. I loved it, and I loved her music. How are you enjoying life in Atlanta? It's good. It's like an upgraded version of Memphis—a more resourceful version. And when I want to go home, it’s just six hours to drive. You drive home? I ride home. I don't drive, I got a driver. Nice. So prior to shooting your Fenty campaign, did you use any Fenty Beauty products or wear any Savage x Fenty? I love Fenty lip gloss—the one in the square tube. It may be in my purse right now. And my makeup artist uses a highlighter on me that I love. It makes my face so shimmery. And I don't like soft baby hairs, I like the gelled down baby hair look, so I've been using the edge control. Speaking of hair, tell us about your hair journey. How did you wear your hair growing up? My momma did my hair for the most part until I got into high school. She was still doing the little clips and stuff when I was in middle school, and I used to hate it. I was too grown to be wearing my hair like that! I was like, “this is a five-year old’s hairstyle.” When I got 14, 15, I started letting real hairstylists do my hair, and I started with the weaves and everything. Did you perm your hair when you were younger? Uh huh. My momma permed my hair when I was like four years old. And do you still perm your hair today? No, I've been natural for two years now, since October 2022. What has that adjustment been like for you? I went natural years ago and it was a challenge. Well I'm 1000 percent tender-headed, so I hate getting my hair braided. I keep my braids in for months at a time because I be crying when I get my hair done. I don't do nothing with my real hair but keep it underneath wigs. I think I know the answer to this, but what’s your favorite way to wear your hair? I wear a side part, for the most part. I like black, and I do blonde sometimes. Right. You went with black hair for your Fenty campaign shoot. What was that shoot like? It was a good day. I like shooting when I look real cute in everything I have on. I don't like photo shoots where I have to look a certain type of way and I can't pick what I want to do. But I was comfortable in everything I was putting on, so it was a good shoot. Did you have a favorite look? I liked all of them. I'm real thick so I looked good in everything. And I'm comfortable with my body now because I've been in the gym. Everything fit me perfect. Thinking back to that video of Rihanna dancing to 'TGIF,"" what was your reaction? I was just screaming. I was like, “Oh my God.” I had just dropped the song and I was going to perform it at the BET Awards, and I was at rehearsals. I sat down to take a break, hopped on Instagram, and that’s the first thing I saw. I couldn't believe it. I just screamed. I was like, “Ya’ll, Rihanna just posted me!” Tell us, when you started your career, what did you envision for it and how is that the same or different from what it has grown into? I ain't going to lie, I knew I was going to make it. I always had faith in myself, but I didn't know I was going to be as big as I am. I didn't think I'd be doing all of this. What has the adjustment to fame been like? I think I'm finally adjusting to it. The first two years I still wasn't used to it, but I think I'm getting used to it. I'm still appreciating everything that comes my way, though. I'm not taking nothing for granted. I'm still excited for everything. What do you hope people take away from your campaign? That I'm grown and sexy now. I used to be a little tomboy, but I'm 25 now, I'm in my golden era. I just feel like I done stepped into myself, into my grown woman era. This interview was edited and condensed for clarity. Jennifer Lawrence Adds Dad Shoes to Her Maternity Wardrobe Why Does Everyone Have a Belted Bag Now? Kim Kardashian’s Dress Is More Skin and Mesh Than Actual Dress What Is the Difference Between Bootcut and Flare Jeans? Sign up for Vogue Shopping to receive the insider’s guide to what to shop and how to wear it Listen to The Run-Through with Vogue, a weekly podcast featuring the most exciting stories and hot takes from the worlds of culture, politics, sports and–of course–fashion Never miss a Vogue moment and get unlimited digital access for just $2 $1 per month. The Vogue Runway app has expanded! Update to the latest version to see all Vogue content, as well as new features like our Runway Genius quiz, Group Chats, and posts from Vogue contributors. More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
"Demi Moore Takes Paris, Dressed Like the Award Statuette She Deserves",High Fashion,"Couture week is in full swing in Paris, and the celebrities have been storming the streets in their very best. Jennie had her own twist to the naked dressing trend, Kylie Jenner cropped her tweeds, and Dua Lipa brought her biggest hairbow to Chanel. Schiaparelli attendees—from Regina King to Kelly Rutherford—opted for crisp, winter whites, while Jenna Ortega and Anya Taylor-Joy went hell for leather for Dior. Demi Moore, however, is staying true to her campaign trail wardrobe. The very recent first-time Academy Award nominee stepped out in Paris for the Armani Privé spring 2025 show, dressed like a sleek, gilded statuette. The Substance actor wore a stiff, nipped in metallic Armani jacket with a sculpted peplum waist, black velvet trousers, and Louboutin stilettos. She accessorized with a stacked, layered black beaded necklace, and wore a pop of cherry red on her nails to match her red-bottomed shoes. Right beside her was her longtime stylist, Brad Goreski, who has surely been taking in what showstopping sparklers from fashion week he can pull for Moore next. It was a special evening, regardless, to be dressed like a trophy. The show marked 20 years of Giorgio Armani’s haute couture line Armani Privé, calling upon Armani’s most celebrated aesthetics and technical elements: shimmering, crystal-studded gowns, silky tailoring, jewel tones. Others on the front row with Moore included Jessica Biel and Dianna Agron, who joined in the rapturous applause for the legendary 90-year-old designer. Moore wore a custom gold, structured Armani Privé dress with rhinestone panelling and an exaggerated mermaid tail to The Golden Globes, where she picked up her first best actress award and gave a rousing speech. Next is Critics Choice, BAFTA, and the SAG awards. As a current forerunner for the Oscars nod, Ms Demi Moore could be picking up her first Academy Award in one of the metallic Armani dream gowns that graced the 8th arrondissement last night. More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
How to Choose the Best Glasses for Your Face Shape,Sustainable Fashion,"Products are independently selected by our editors. We may earn an affiliate commission from links. I’ve always had trouble with glasses. While I find them adorable—even chic!—on other people, I’ve long felt that once I put on a pair, my look becomes very “finals week,” very quickly. For years, I tried to turn a blind eye to the whole thing, blithely waving at strangers and squinting at street signs. But it was only a matter of time, I knew, before I had to succumb to spectacles. (Also: Because I’m not one for touching my eyes, contacts were a non-starter.) So, I gave myself a mission: If I was to become a glasses person, I simply needed to find the best pair out there. We’ve seen how they can be a powerful, even evocative accessory. (Meryl Streep has practically made a career out of the dramatic handling of eyewear.) And there’s never been a shortage of design-forward options—just look at the spring runways, where sultry little spectacles abound. To wit: Just last week, the Khaite show accessorized chunky knits, smart trousers, and tailored jackets with ascot caps, sharp handbags, and a sprinkling of elegant eyewear. As Vogue Runway Director Nicole Phelps wrote in her review, designer Catherine Holstein’s success at Khaite comes down to how good she is with product. “Look around at the front rows during fashion month and a good percentage of women will be wearing her Nevada boots,” Phelps wrote, “others are carrying her Simona shoulder bag, or wearing her jeans.” Now, Khaite has added optical eyewear to its collection of covetable staples. A look from the recent Khaite collection, featuring the brand's new eyewear. Created in collaboration with the heritage eyewear brand Oliver Peoples, which also helped to launch Khaite’s debut sunglasses collection in the fall of 2023, the new line is made up of six styles in all, featuring three pairs of opticals: two cat-eyed silhouettes (one in metal, the other in a bold acetate) and a ‘70s-inspired oversized pair. Eagle-eyed fashion folk may recognize the golden corewire that runs the length of the frame as a nod to the hardware in Khaite’s bags. All three styles feel like a natural extension of Khaite’s signature cool-but-wearable look. “There’s a quiet confidence to opticals, a refinement that is part of your daily uniform,” Holstein tells Vogue. “We wanted these frames to feel inherently Khaite—understated and intentional.” My vision may be blurry, but even I can see that there has never been a better time to give glasses a go. I traveled to Oliver Peoples’s Madison Avenue shop to try some on. Below, the best tips for choosing truly inspired eyewear. There’s a bit of a science to choosing your ideal glasses shape—though it’s a deeply individual practice. George Lee, who has worked with Oliver Peoples for 12 years, breaks down the formula for selecting the most flattering eyeglasses for different face shapes. It’s all about balance: While those with triangular faces—characterized by a wider forehead and smaller chin—should opt for smaller frames, a narrower forehead and wider jawline are well served by larger frame. Similarly, if you have a square face, Lee suggests picking frames that are a bit rounded, to give your visage a touch of softness; and for round faces, square-shaped glasses will give your look greater definition. Generally speaking, you don’t want your glasses to obscure your brows: Ideally, the top of the frame will follow the brow bone and fall slightly below your eyebrows. As far as your coloring goes, the rule of thumb is to try to create contrast, but if you’re new to the optical game, something classic—say, a relatively thin oval or soft square acetate frame in black or tortoiseshell—will do just fine. If you are blessed with a lower prescription, your frames can come in virtually any size or style. Higher prescriptions, on the other hand, narrow the field a bit, tending to require smaller frames with thicker edges. Lee is careful about how many frames he shows each client; he doesn’t tend to pull more than 10-12 in total, so as not to overwhelm them with options. He also thinks it’s best to try glasses on solo, rather than choosing by committee. (Selfies, however, are fair game, and I’d suggest industriously circulating all options among your trusted council.) Just like clothing, eyewear is ultimately an extension of your taste and style: What makes a pair of glasses “good” comes down to what makes you happy. In my case, I followed Lee’s step-by-step guidance and selected a pair of delicately rounded specs that gave my brows plenty of room to breathe and balanced out (but didn’t overwhelm) my oval-shaped face. Their color—tortoiseshell with an ivory interior—played off both my lighter complexion and dark hair. Looking at my reflection, it was the first time I’d ever felt like myself in a pair of glasses. “Eyewear is about how you want to look as well as what’s flattering,” Lee told me at the end of our tutorial. “If you can combine that with what works aesthetically, it really hits.” Khaite x Oliver Peoples 1978RX eyeglasses OLIVER PEOPLES Khaite x Oliver Peoples 1953RX eyeglasses KHAITE Khaite x Oliver Peoples 1953RX eyeglasses KHAITE Khaite x Oliver Peoples 1998RX eyeglasses KHAITE Khaite x Oliver Peoples 1978RX eyeglasses OLIVER PEOPLES Khaite x Oliver Peoples 1953RX eyeglasses KHAITE Khaite x Oliver Peoples 1998RX eyeglasses KHAITE Khaite x Oliver Peoples 1953RX eyeglasses OLIVER PEOPLES Jennifer Lawrence Adds Dad Shoes to Her Maternity Wardrobe Why Does Everyone Have a Belted Bag Now? Kim Kardashian’s Dress Is More Skin and Mesh Than Actual Dress What Is the Difference Between Bootcut and Flare Jeans? Sign up for Vogue Shopping to receive the insider’s guide to what to shop and how to wear it Listen to The Run-Through with Vogue, a weekly podcast featuring the most exciting stories and hot takes from the worlds of culture, politics, sports and–of course–fashion Never miss a Vogue moment and get unlimited digital access for just $2 $1 per month. The Vogue Runway app has expanded! Update to the latest version to see all Vogue content, as well as new features like our Runway Genius quiz, Group Chats, and posts from Vogue contributors. More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
Saoirse Ronan’s Latest Look Proves the Color Analysis Trend Works,Red Carpet,"Saoirse Ronan’s style shift has been awe-inducing. Working with stylist Danielle Goldberg—a collaborator of filmic fashion girls Ayo Edebiri and Greta Lee too—Ronan has developed an elegant and understated, yet subversive set of sartorial codes. Think J.W Anderson asymmetric mini-dresses and archival Phoebe Philo-era Celine, pops of color and texture, and incorporating new-gen designers like Hodakova and Colleen Allen into the wardrobe. The actor’s latest outing adds to a thrilling stylistic oeuvre—and proves both she and Goldberg know the colors that work best for her. The Irish Film & Television Academy Awards took place in Dublin on Friday (February 14), celebrating the year in Irish film and television. Some of Ireland’s biggest names turned out for the ceremony, including Ronan, Cillian Murphy, Andrew Scott, Ruth Negga, Nicola Coughlan, and Sharon Horgan. For the occasion, Goldberg dressed The Outrun actor in custom Louis Vuitton by Nicolas Ghesquière. She wore the bold blue strapless gown with an empire waist and single pleat and kept to minimal accessories, with a set of Completedworks black drop earrings. Her hair was in a middle parting and tight bun, by Irish hairstylist Aidan Darcy, with a rose pink lip and a sweep of eyeliner by Vivien Pomeroy. Ronan is most certainly aware of what suits her on the color wheel. The royal blue shade and other hues of bright and more muted blue have cropped up in her wardrobe before: a J.W Anderson mini-dress, a silken navy Ferragamo shirt, and a puffball sleeve and skirted Louis Vuitton dress. A more electric shade of blue was even the color of her hair in her film The Outrun. Saoirse Ronan was one of the IFTA night’s most major names, winning two awards: Best Lead Actress for The Outrun, and Best Supporting Actress for Blitz. Proving blue is a winner’s color, will we see the shade carry her through to the weekend’s BAFTAs? More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
Lady Gaga Performs in Delightful Mother Monster Fashion at the 2025 Super Bowl,Red Carpet,"It wouldn’t be the Super Bowl without a surprise celebrity performance, now would it? Tonight in New Orleans, just before the big 2025 game between the Kansas City Chiefs and Philadelphia Eagles kicked off, singer Lady Gaga took to the stage for a special piano rendition of her 2022 song “Hold My Hand.” The pre-recorded performance, staged outside on the iconic Bourbon Street, was meant to serve as an uplifting tribute to the resilient local community in New Orleans, who all rallied and supported one another following the terrorist attack that occurred there on New Year’s Day. Gaga performed her touching song on the piano, accompanied by a live band. She chose an all-white look—a color often associated with peace, hope, and new beginnings—that felt perfectly appropriate for the occasion, given the mood of the night. But because she had to give her stage look a major Mother Monster feel, too, the star sported a dramatic wide-brimmed chapeau, as well as a white lace coat with a long, sweeping train. (The outerwear was similar in feel to the high-collared lace cape made of recycled wedding dresses that she recently wore in her new music video for “Abracadabra.”) Gaga released “Hold My Hand” back in 2022, as part of the Top Gun: Maverick soundtrack. Her live rendition of it on Sunday night made for an unexpected opening game-day moment—but one that was obviously greeted with delight by a stadium full of cheering fans. The Story Behind Kendrick Lamar’s 2025 Super Bowl Outfit, From the “Gloria” Jacket to the Bootcut Jeans Taylor Swift Brings Her Grammys “T” Pendant to the 2025 Super Bowl The Best and Boldest Tunnel Looks from Super Bowl LIX All the Celebrities Spotted at the 2025 Super Bowl—and What They Wore The Very Best Commercials From the 2025 Super Bowl More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
Tyla Redefines the Naked Dress at the Jacquemus Show,High Fashion,"Earlier today (January 26) in Paris, Jacquemus designer Simon Porte Jacquemus assembled a star-studded crowd to take in his new fall 2025 collection. Some notable names the front row? Best actress Oscar nominee and Last Showgirl star Pamela Anderson, supermodel Carla Bruni, and singer-of-the-moment Tyla, among others. (Adriana Lima even walked the catwalk.) While each star in attendance was sure to bring a polished look to the affair, it was Tyla who donned one of the most head-turning designs of the show. The “Water” singer put her stamp on the still-persisting naked dress trend, which is all about showing skin thanks to slinky barely-there silhouettes. While many celebrities have braved the trend on the red carpet this past year—with stars like Hailey Bieber and Zoe Kravitz choosing totally-sheer dresses in lace or crystal-encrusted mesh fabrications—Tyla brought a new, refined twist. She chose a long, black maxi gown by Jacquemus that was completely open along the sides, exposing the side torso and a thong-style brief, too. Still, with it being mostly covered up, the end result was a revealing look that still felt polished and sophisticated, right down to her choice of minimal earrings. After all, when your killer body is the accessory, you simply don’t need much else. More from Vogue See More Stories © 2025 Condé Nast. All rights reserved. Vogue may earn a portion of sales from products that are purchased through our site as part of our Affiliate Partnerships with retailers. The material on this site may not be reproduced, distributed, transmitted, cached or otherwise used, except with the prior written permission of Condé Nast. Ad Choices CN Fashion & Beauty"
